"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 20:15:31 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","281","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","28","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"passed","Sun Jun 26 20:15:50 GMT 2022","Sun Jun 26 20:15:50 GMT 2022","466","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"passed","Sun Jun 26 20:15:41 GMT 2022","Sun Jun 26 20:15:42 GMT 2022","451","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","34","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Sun Jun 26 20:15:53 GMT 2022","Sun Jun 26 20:15:53 GMT 2022","421","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
"passed","Sun Jun 26 20:15:35 GMT 2022","Sun Jun 26 20:15:36 GMT 2022","1470","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite","","","test_2",""
"passed","Sun Jun 26 20:15:54 GMT 2022","Sun Jun 26 20:15:55 GMT 2022","360","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"skipped","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","1","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"passed","Sun Jun 26 20:15:52 GMT 2022","Sun Jun 26 20:15:53 GMT 2022","830","tests","test_get_characters","TestCharacters","","","test_single_character_not_existing",""
"failed","Sun Jun 26 20:15:36 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","597","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
"passed","Sun Jun 26 20:15:55 GMT 2022","Sun Jun 26 20:15:55 GMT 2022","379","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"passed","Sun Jun 26 20:15:30 GMT 2022","Sun Jun 26 20:15:30 GMT 2022","422","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_1_create_new_user",""
"skipped","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_15",""
"passed","Sun Jun 26 20:15:49 GMT 2022","Sun Jun 26 20:15:49 GMT 2022","432","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"passed","Sun Jun 26 20:15:53 GMT 2022","Sun Jun 26 20:15:54 GMT 2022","398","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"passed","Sun Jun 26 20:15:55 GMT 2022","Sun Jun 26 20:15:55 GMT 2022","364","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"skipped","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_13",""
"passed","Sun Jun 26 20:15:42 GMT 2022","Sun Jun 26 20:15:46 GMT 2022","3214","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_6_check_delayed_response","Checking delayed page calls"
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","36","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Sun Jun 26 20:15:46 GMT 2022","Sun Jun 26 20:15:46 GMT 2022","447","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","1","tests","test_dummy","TestSuite","","","test_1",""
"passed","Sun Jun 26 20:15:48 GMT 2022","Sun Jun 26 20:15:49 GMT 2022","796","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","1","tests","test_dummy","TestSuite","","","test_3",""
"passed","Sun Jun 26 20:15:49 GMT 2022","Sun Jun 26 20:15:50 GMT 2022","432","tests","test_get_characters","TestCharacters","","","test_character_by_random",""
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","376","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"passed","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:33 GMT 2022","1234","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"passed","Sun Jun 26 20:15:51 GMT 2022","Sun Jun 26 20:15:52 GMT 2022","346","tests","test_get_characters","TestCharacters","","","test_single_character",""
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","26","tests","test_restful_booker_api","TestRestfulBooker","","","test_7_delete_booking",""
"passed","Sun Jun 26 20:15:54 GMT 2022","Sun Jun 26 20:15:54 GMT 2022","434","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"passed","Sun Jun 26 20:15:55 GMT 2022","Sun Jun 26 20:15:56 GMT 2022","378","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"passed","Sun Jun 26 20:15:33 GMT 2022","Sun Jun 26 20:15:34 GMT 2022","607","tests","test_book_store_account_version2","TestBookStore","","","test_generate_token","Generate token"
"skipped","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"passed","Sun Jun 26 20:15:42 GMT 2022","Sun Jun 26 20:15:42 GMT 2022","458","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
"passed","Sun Jun 26 20:15:39 GMT 2022","Sun Jun 26 20:15:40 GMT 2022","1243","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_2_check_list_resource_pages","Getting the default list of resources. Determining the number of ID resources."
"skipped","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_3_login","user login"
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","27","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"skipped","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"passed","Sun Jun 26 20:15:28 GMT 2022","Sun Jun 26 20:15:29 GMT 2022","508","tests","test_9kovlev_get_episodes","TestCharacters","","","test_episoode_by_series",""
"passed","Sun Jun 26 20:15:29 GMT 2022","Sun Jun 26 20:15:30 GMT 2022","393","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
"passed","Sun Jun 26 20:15:34 GMT 2022","Sun Jun 26 20:15:35 GMT 2022","1189","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"passed","Sun Jun 26 20:15:56 GMT 2022","Sun Jun 26 20:15:56 GMT 2022","389","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Sun Jun 26 20:15:52 GMT 2022","Sun Jun 26 20:15:52 GMT 2022","362","tests","test_get_characters","TestCharacters","","","test_single_character_invalid_id",""
"skipped","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_14",""
"passed","Sun Jun 26 20:15:46 GMT 2022","Sun Jun 26 20:15:46 GMT 2022","363","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Sun Jun 26 20:15:46 GMT 2022","Sun Jun 26 20:15:48 GMT 2022","1165","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_12",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite","","","test_4",""
"passed","Sun Jun 26 20:15:56 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","709","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"passed","Sun Jun 26 20:15:30 GMT 2022","Sun Jun 26 20:15:30 GMT 2022","346","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"passed","Sun Jun 26 20:15:40 GMT 2022","Sun Jun 26 20:15:41 GMT 2022","1174","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_3_CrUD_user","Creating a user"
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite","","","test_5",""
"passed","Sun Jun 26 20:15:30 GMT 2022","Sun Jun 26 20:15:31 GMT 2022","349","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:37 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_11",""
"skipped","Sun Jun 26 20:15:32 GMT 2022","Sun Jun 26 20:15:32 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_1_user_create","create new user"
"passed","Sun Jun 26 20:15:50 GMT 2022","Sun Jun 26 20:15:51 GMT 2022","1284","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
"passed","Sun Jun 26 20:15:31 GMT 2022","Sun Jun 26 20:15:31 GMT 2022","250","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","30","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"passed","Sun Jun 26 20:15:29 GMT 2022","Sun Jun 26 20:15:29 GMT 2022","360","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"passed","Sun Jun 26 20:15:37 GMT 2022","Sun Jun 26 20:15:39 GMT 2022","1703","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"passed","Sun Jun 26 20:15:48 GMT 2022","Sun Jun 26 20:15:48 GMT 2022","513","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Sun Jun 26 20:15:31 GMT 2022","Sun Jun 26 20:15:31 GMT 2022","250","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"passed","Sun Jun 26 20:15:57 GMT 2022","Sun Jun 26 20:15:57 GMT 2022","33","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
